City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
93,Nanortalik,GL,2021-07-12 23:24:28,60.1432,-45.2371,39.54,91,68,10.65
94,Cherskiy,RU,2021-07-12 23:24:28,68.75,161.3,49.93,65,97,9.53
95,Sao Filipe,CV,2021-07-12 23:24:28,14.8961,-24.4956,73.13,80,100,4.5
96,Cidreira,BR,2021-07-12 23:24:28,-30.1811,-50.2056,60.46,88,100,9.62
97,Aklavik,CA,2021-07-12 23:24:29,68.2191,-135.0107,75.92,26,84,10.02
98,Tasiilaq,GL,2021-07-12 23:24:29,65.6145,-37.6368,46.56,94,100,13.94
99,Marzuq,YE,2021-07-12 23:24:29,14.4,46.4667,79.65,51,100,10.51
100,Along,IN,2021-07-12 23:24:29,28.1667,94.7667,74.21,95,69,1.05
101,Male,MV,2021-07-12 23:24:30,4.1748,73.5089,82.35,89,75,11.5
102,Mecca,SA,2021-07-12 23:19:31,21.4267,39.8261,89.13,26,47,5.64
103,Canutama,BR,2021-07-12 23:24:30,-6.5339,-64.3831,83.86,51,63,2.24
104,Perth,AU,2021-07-12 23:23:45,-31.9333,115.8333,63.01,83,75,17.27
105,Saskylakh,RU,2021-07-12 23:24:30,71.9167,114.0833,59.83,52,96,10.0
106,Eureka,US,2021-07-12 23:24:31,40.8021,-124.1637,64.13,79,42,1.99
107,Bay Roberts,CA,2021-07-12 23:24:31,47.5999,-53.2648,63.66,89,9,8.99
108,Stavrovo,RU,2021-07-12 23:24:31,56.1331,40.013,63.75,67,0,3.85
109,Emerald,AU,2021-07-12 23:24:31,-23.5333,148.1667,60.35,67,40,5.75
110,Baykit,RU,2021-07-12 23:24:31,61.67,96.37,52.77,82,62,1.39
111,Boa Vista,BR,2021-07-12 23:21:03,2.8197,-60.6733,84.18,65,20,3.44
112,Ous,RU,2021-07-12 23:24:32,60.9058,61.5186,52.9,62,100,4.0
113,Scharding,AT,2021-07-12 23:24:32,48.4529,13.4372,69.13,82,58,2.33
114,Komsomolskiy,UZ,2021-07-12 23:24:32,40.4272,71.7189,74.62,73,75,11.5
115,Belaya Gora,RU,2021-07-12 23:24:33,68.5333,146.4167,52.45,47,98,4.94
116,Abeche,TD,2021-07-12 23:24:33,13.8292,20.8324,78.69,65,84,17.52
117,Tuktoyaktuk,CA,2021-07-12 23:24:33,69.4541,-133.0374,60.8,63,75,12.66
118,Rehoboth,NA,2021-07-12 23:24:33,-23.3167,17.0833,38.23,67,0,5.26
119,Saint George,US,2021-07-12 23:21:15,37.1041,-113.5841,111.67,16,1,1.99
120,Iquitos,PE,2021-07-12 23:24:34,-3.7481,-73.2472,80.64,83,40,2.3
121,Sembakung,ID,2021-07-12 23:24:34,3.8167,117.25,80.53,98,89,2.08
122,Lagoa,PT,2021-07-12 23:24:34,39.05,-27.9833,67.19,74,14,18.68
123,Clyde River,CA,2021-07-12 23:24:34,70.4692,-68.5914,50.23,81,90,13.8
124,Pangnirtung,CA,2021-07-12 23:24:34,66.1451,-65.7125,46.26,91,100,4.27
125,Sweetwater,US,2021-07-12 23:24:35,25.7634,-80.3731,84.22,78,75,1.99
126,Neuquen,AR,2021-07-12 23:24:35,-38.9516,-68.0591,44.49,61,0,4.61
127,Airai,TL,2021-07-12 23:24:35,-8.9266,125.4092,58.35,54,13,3.65
128,Alamosa,US,2021-07-12 23:24:35,37.4695,-105.87,82.38,28,1,10.36
129,Klaksvik,FO,2021-07-12 23:24:36,62.2266,-6.589,50.92,92,80,1.1
130,Pundaguitan,PH,2021-07-12 23:24:36,6.3711,126.1689,78.76,84,100,4.63
131,Ponta Do Sol,PT,2021-07-12 23:24:36,32.6667,-17.1,71.13,73,96,10.92
132,Guerrero Negro,MX,2021-07-12 23:24:36,27.9769,-114.0611,79.12,58,90,14.45
133,Nishihara,JP,2021-07-12 23:24:37,26.1842,127.7558,83.86,81,75,9.22
134,Kinkala,CG,2021-07-12 23:24:37,-4.3614,14.7644,66.51,57,74,2.75
135,Vila Franca Do Campo,PT,2021-07-12 23:24:37,37.7167,-25.4333,66.61,75,52,11.9
136,Jamestown,US,2021-07-12 23:24:37,42.097,-79.2353,76.01,95,75,1.01
137,Provideniya,RU,2021-07-12 23:24:38,64.3833,-173.3,46.51,81,0,13.42
138,Samana,DO,2021-07-12 23:24:38,19.2056,-69.3369,78.76,84,100,9.91
139,Opuwo,NA,2021-07-12 23:24:38,-18.0607,13.84,54.79,41,3,5.73
140,Castro,BR,2021-07-12 23:24:38,-24.7911,-50.0119,54.77,71,63,1.54
141,San Patricio,US,2021-07-12 23:24:39,28.017,-97.5169,90.32,66,100,12.53
142,Kalmunai,LK,2021-07-12 23:24:39,7.4167,81.8167,79.93,72,100,3.31
143,Longavi,CL,2021-07-12 23:24:39,-35.9667,-71.6833,44.73,72,6,2.01
