City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
636,Cayenne,GF,79.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
637,Miyako,JP,80.15,scattered clouds,39.6367,141.9525,Hotel Route Inn Miyako
639,Niquero,CU,82.26,few clouds,20.0431,-77.5828,Islazul Niquero
649,Vero Beach,US,87.06,scattered clouds,27.6386,-80.3973,Kimpton Vero Beach Hotel & Spa
655,Mormugao,IN,79.21,light rain,15.4,73.8,Coconut Creek Resort
656,Roquetas De Mar,ES,77.61,clear sky,36.7642,-2.6148,Hotel Don Ángel
658,Kalmunai,LK,80.53,overcast clouds,7.4167,81.8167,VS Villa
661,Kuala Terengganu,MY,78.75,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
663,Kilindoni,TZ,77.04,light rain,-7.9139,39.6668,Bustani B&B
668,Huanren,CN,76.48,broken clouds,41.2647,125.3667,Dynasty Wunvshan Ice Chateau
672,Mongo,TD,81.82,overcast clouds,12.1844,18.693,Résidences du Programme FIDA
673,Labuan,MY,77.36,few clouds,5.2767,115.2417,Tiara Labuan Hotel
675,Iturama,BR,75.07,few clouds,-19.7281,-50.1956,República DominaCana
677,Kampong Cham,KH,75.63,overcast clouds,11.9934,105.4635,7 Makara Hotel
