City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
124,Gimli,CA,50.6336,-96.9907,92.43,28,0,7.05,clear sky
125,Lavrentiya,RU,65.5833,-171.0,46.85,92,99,14.38,overcast clouds
126,Kapit,MY,2.0167,112.9333,72.41,99,100,1.12,overcast clouds
127,Dwarka,IN,22.2394,68.9678,83.66,82,100,12.8,overcast clouds
128,Umm Lajj,SA,25.0213,37.2685,85.77,49,7,1.07,clear sky
129,Hamilton,US,39.1834,-84.5333,82.6,84,1,1.01,clear sky
130,Gaya,IN,24.7833,85.0,86.99,62,99,5.73,overcast clouds
131,College,US,64.8569,-147.8028,77.58,52,75,6.91,smoke
132,Swan Hill,AU,-35.3378,143.5544,44.2,80,80,18.01,broken clouds
133,Barrow,US,71.2906,-156.7887,44.62,81,90,13.8,haze
134,Brewster,US,41.3973,-73.6171,89.74,81,34,6.06,scattered clouds
135,Carnarvon,AU,-24.8667,113.6333,62.76,58,90,14.05,overcast clouds
136,Sakakah,SA,29.9697,40.2064,90.21,14,0,14.65,clear sky
137,Villa De San Francisco,HN,14.1667,-86.9667,83.68,54,72,4.63,broken clouds
138,Norman Wells,CA,65.282,-126.8329,68.77,25,40,1.81,scattered clouds
139,Mar Del Plata,AR,-38.0023,-57.5575,55.09,65,60,3.0,broken clouds
140,Kuruman,ZA,-27.4524,23.4325,45.0,48,0,6.26,clear sky
141,Chokurdakh,RU,70.6333,147.9167,60.1,52,100,3.2,overcast clouds
142,Saldanha,ZA,-33.0117,17.9442,55.45,78,0,10.0,clear sky
143,Mahebourg,MU,-20.4081,57.7,71.26,73,58,15.26,broken clouds
144,Nara,JP,34.6851,135.8049,81.25,94,85,5.82,overcast clouds
145,Lebu,CL,-37.6167,-73.65,48.22,71,10,13.58,clear sky
146,Saint-Augustin,CA,51.226,-58.6502,59.29,97,100,11.12,overcast clouds
147,Flinders,AU,-34.5833,150.8552,53.8,67,71,3.0,broken clouds
148,Khatanga,RU,71.9667,102.5,42.55,64,8,5.1,clear sky
149,Fairbanks,US,64.8378,-147.7164,77.59,58,40,1.99,scattered clouds
150,Victoria,HK,22.2855,114.1577,83.32,88,100,1.99,light rain
151,Caravelas,BR,-17.7125,-39.2481,71.8,86,0,7.18,clear sky
152,Baker City,US,44.7749,-117.8344,90.93,23,1,6.91,clear sky
153,Usinsk,RU,65.9939,57.5281,52.72,81,21,6.15,few clouds
154,Xining,CN,36.6167,101.7667,55.08,87,86,2.26,overcast clouds
155,Atuona,PF,-9.8,-139.0333,78.12,73,38,22.03,scattered clouds
156,Ornskoldsvik,SE,63.2909,18.7153,59.95,72,1,4.61,clear sky
157,Okakarara,NA,-20.5833,17.4333,51.53,53,15,6.91,few clouds
158,Gonaives,HT,19.45,-72.6833,84.18,61,62,4.85,broken clouds
159,Miandrivazo,MG,-19.5167,45.4667,66.51,68,2,2.48,clear sky
160,Zhangjiakou,CN,40.81,114.8794,70.95,91,99,5.32,overcast clouds
161,Shitkino,RU,56.3703,98.3543,60.55,92,77,1.66,broken clouds
162,Hit,IQ,33.6416,42.8251,94.91,16,0,8.03,clear sky
163,Puerto Ayora,EC,-0.7393,-90.3518,72.55,93,93,7.0,overcast clouds
164,Hailin,CN,44.5833,129.4167,74.75,87,52,3.44,light rain
165,Longyearbyen,SJ,78.2186,15.6401,48.04,81,75,2.3,broken clouds
166,Saint-Pierre,RE,-21.3393,55.4781,69.48,73,40,13.8,scattered clouds
167,Ca Mau,VN,9.1769,105.15,76.28,87,100,3.69,overcast clouds
168,Coquimbo,CL,-29.9533,-71.3436,58.08,67,1,4.52,clear sky
169,Muravlenko,RU,63.7898,74.523,49.1,98,100,8.43,overcast clouds
170,Half Moon Bay,US,37.4636,-122.4286,90.54,64,1,9.22,clear sky
171,Nueva Granada,CO,9.8017,-74.393,95.83,39,35,3.22,scattered clouds
172,Mayna,RU,54.1135,47.6231,63.97,92,82,5.73,broken clouds
173,Lazo,RU,43.3817,133.9014,72.25,91,43,3.04,scattered clouds
174,Sorland,NO,67.667,12.6934,53.71,92,100,24.63,light rain
175,Qaanaaq,GL,77.484,-69.3632,36.25,93,97,12.46,overcast clouds
176,Pangkalanbuun,ID,-2.6833,111.6167,73.44,93,100,2.28,overcast clouds
177,Nuristan,AF,35.3,70.8333,50.74,70,46,4.29,scattered clouds
178,Dundee,GB,56.5,-2.9667,64.65,83,0,8.05,clear sky
179,Warmbad,NA,-28.45,18.7333,52.59,16,0,8.37,clear sky
180,Nantucket,US,41.2835,-70.0995,84.96,90,90,9.22,mist
181,Kundiawa,PG,-6.0167,144.9667,66.06,61,100,0.92,overcast clouds
182,Rawah,IQ,34.4816,41.9093,94.15,18,0,8.08,clear sky
183,Soufriere,LC,13.8562,-61.0566,83.86,89,75,25.32,broken clouds
184,Kahului,US,20.8947,-156.47,86.02,65,40,24.16,scattered clouds
185,Maues,BR,-3.3836,-57.7186,79.88,73,67,2.35,broken clouds
186,Comodoro Rivadavia,AR,-45.8667,-67.5,49.86,46,75,10.36,broken clouds
187,Vestmannaeyjar,IS,63.4427,-20.2734,50.74,82,100,13.29,overcast clouds
188,Belmonte,BR,-15.8631,-38.8828,73.9,78,20,8.03,few clouds
189,Ketchikan,US,55.3422,-131.6461,57.67,82,90,10.36,moderate rain
190,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,75.79,92,84,4.21,broken clouds
191,Aranos,NA,-24.1333,19.1167,50.54,44,0,10.29,clear sky
192,Biloela,AU,-24.4167,150.5,56.19,45,3,7.36,clear sky
193,Clyde River,CA,70.4692,-68.5914,40.06,81,90,4.03,overcast clouds
194,Lancaster,US,40.2504,-76.2499,93.33,59,40,10.36,scattered clouds
195,Vuktyl,RU,63.8567,57.3094,55.62,78,28,1.97,scattered clouds
196,Merauke,ID,-8.4667,140.3333,77.79,88,98,9.17,overcast clouds
197,Hithadhoo,MV,-0.6,73.0833,82.78,75,82,11.86,broken clouds
198,Samana,DO,19.2056,-69.3369,80.82,83,75,0.0,broken clouds
199,Saint-Philippe,RE,-21.3585,55.7679,69.39,84,62,15.08,light rain
200,Palana,RU,59.1167,159.9667,54.3,86,35,2.53,scattered clouds
201,Ribeira Grande,PT,38.5167,-28.7,67.59,68,56,12.77,broken clouds
202,Kanker,IN,20.2719,81.4931,77.04,78,78,4.07,broken clouds
203,Pilar,BR,-9.5972,-35.9567,71.53,93,26,3.78,scattered clouds
204,Xuddur,SO,4.1213,43.8894,71.78,67,39,24.65,scattered clouds
205,Karsiyang,IN,26.8825,88.2773,63.39,92,100,2.44,overcast clouds
206,Floro,NO,61.5996,5.0328,65.1,82,90,14.97,overcast clouds
207,Inhambane,MZ,-23.865,35.3833,64.81,71,84,10.78,broken clouds
208,Pacifica,US,37.6138,-122.4869,92.37,74,20,7.0,few clouds
209,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,87,76,6.29,broken clouds
210,Pochutla,MX,15.7432,-96.4661,88.83,69,89,7.49,overcast clouds
211,Nicolas De Pierola,PE,-11.95,-76.7,52.14,54,0,4.38,clear sky
212,Kourou,GF,5.1552,-52.6478,80.11,83,46,4.36,scattered clouds
213,Ancud,CL,-41.8697,-73.8203,46.22,77,15,8.08,few clouds
214,Provideniya,RU,64.3833,-173.3,46.71,97,100,7.29,light rain
215,Nyrob,RU,60.733,56.7202,55.87,96,30,1.3,scattered clouds
216,Tigre,AR,-34.426,-58.5796,55.4,78,0,10.36,clear sky
217,Sampit,ID,-2.5333,112.95,71.89,92,100,0.74,light rain
